_id,Fecha_Emision,Ano_Proceso,Metodo de Pago,Cuotas Permiso,Codigo_SII,Comuna_Propietario,Comuna_Permiso,Valor_Contado,Total_a_Pagar,Ano_Fabricacion,TipoVehiculo,Marca,Modelo,Cilindrada,Equipamiento,Combustible,Transmision,Tonelaje,Comuna_Anterior,Fecha_Vencimiento
1,2026-03-20T00:00:00,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,33715,37390,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700,Norm,Benc,Mec,0,RIO IBAÑEZ,2026-03-31T00:00:00
2,2026-03-20T00:00:00,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,34876,34876,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700,Norm,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
3,2026-03-20T00:00:00,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,30885,43076,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700,Norm,Benc,Mec,0,RIO IBAÑEZ,2024-03-31T00:00:00
4,2026-03-20T00:00:00,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,32333,40626,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700,Norm,Benc,Mec,0,RIO IBAÑEZ,2025-03-31T00:00:00
5,2026-04-08T00:00:00,2026,PRESENCIAL,Total,NULL,COYHAIQUE,RIO IBANEZ,137846,145072,1988,CAMION,MERCEDES BENZ,L1114 48,NULL,NORM,DIES,MEC,8000,RIO BUENO,2026-09-30T00:00:00
6,2026-03-06T00:00:00,2026,PRESENCIAL,Total,MT139000113,RENCA,RIO IBANEZ,32333,40521,2013,Moto,LAMBRETTA,LI,150,NULL,Benc,Aut,0,RIO IBAÑEZ,2025-03-31T00:00:00
7,2026-03-06T00:00:00,2026,PRESENCIAL,Total,MT139000113,RENCA,RIO IBANEZ,33715,37283,2013,Moto,LAMBRETTA,LI,150,NULL,Benc,Aut,0,RIO IBAÑEZ,2026-03-31T00:00:00
8,2026-03-06T00:00:00,2026,PRESENCIAL,Total,MT139000113,RENCA,RIO IBANEZ,34876,34876,2013,Moto,LAMBRETTA,LI,150,NULL,Benc,Aut,0,RIO IBAÑEZ,2027-03-31T00:00:00
9,2026-03-25T00:00:00,2026,PRESENCIAL,Total,CT166004407,COYHAIQUE,RIO IBANEZ,34876,34876,2007,CAMIONETA,MITSUBISHI,L200,2500,Full,Dies,Mec,0,COYHAIQUE,2027-03-31T00:00:00
10,2026-04-14T00:00:00,2026,ONLINE,Total,MT032005815,LO BARNECHEA,RIO IBANEZ,34876,34977,2015,MOTO1,B.M.W,G,650,Norm,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
11,2026-03-28T00:00:00,2026,ONLINE,Total,SU166000497,RIO IBAÑEZ,RIO IBANEZ,34876,34876,1997,STATION WAGON,MITSUBISHI,PAJERO JUNIOR,1100,Full,Benc,Mec,0,RIO IBAÑEZ,2027-03-31T00:00:00
