id,fecha_emision,ano_proceso,metodo_de_pago,cuotas_permiso,codigo_sii,comuna_propietario,comuna_permiso,valor_contado,total_a_pagar,ano_fabricacion,tipo_vehiculo,marca,modelo,cilindrada,combustible,transmision,comuna_anterior,fecha_vencimiento
1,2026-03-20,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,33715,37390,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700.0,BENC,MEC,RIO IBAÑEZ,2026-03-31
2,2026-03-20,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,34876,34876,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
3,2026-03-20,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,30885,43076,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700.0,BENC,MEC,RIO IBAÑEZ,2024-03-31
4,2026-03-20,2026,PRESENCIAL,Total,SU188001078,AISEN,RIO IBANEZ,32333,40626,1978,AUTOMOVIL,PLYMOUTH,VOLARE,3700.0,BENC,MEC,RIO IBAÑEZ,2025-03-31
5,2026-04-08,2026,PRESENCIAL,Total,SIN_CODIGO,COYHAIQUE,RIO IBANEZ,137846,145072,1988,CAMION,MERCEDES BENZ,L1114 48,3625.0,DIES,MEC,RIO BUENO,2026-09-30
6,2026-03-06,2026,PRESENCIAL,Total,MT139000113,RENCA,RIO IBANEZ,32333,40521,2013,MOTO,LAMBRETTA,LI,150.0,BENC,AUT,RIO IBAÑEZ,2025-03-31
7,2026-03-06,2026,PRESENCIAL,Total,MT139000113,RENCA,RIO IBANEZ,33715,37283,2013,MOTO,LAMBRETTA,LI,150.0,BENC,AUT,RIO IBAÑEZ,2026-03-31
8,2026-03-06,2026,PRESENCIAL,Total,MT139000113,RENCA,RIO IBANEZ,34876,34876,2013,MOTO,LAMBRETTA,LI,150.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
9,2026-03-25,2026,PRESENCIAL,Total,CT166004407,COYHAIQUE,RIO IBANEZ,34876,34876,2007,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,COYHAIQUE,2027-03-31
10,2026-04-14,2026,ONLINE,Total,MT032005815,LO BARNECHEA,RIO IBANEZ,34876,34977,2015,MOTO,B.M.W,G,650.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
11,2026-03-28,2026,ONLINE,Total,SU166000497,RIO IBANEZ,RIO IBANEZ,34876,34876,1997,STATION WAGON,MITSUBISHI,PAJERO JUNIOR,1100.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
12,2026-03-24,2026,PRESENCIAL,Total,CT166004607,RIO IBANEZ,RIO IBANEZ,34876,34876,2007,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,COYHAIQUE,2027-03-31
13,2026-03-24,2026,PRESENCIAL,Total,SD176022109,RIO IBANEZ,RIO IBANEZ,34876,34876,2009,AUTOMOVIL,NISSAN,V16,1600.0,BENC,MEC,COYHAIQUE,2027-03-31
14,2026-03-27,2026,PRESENCIAL,Total,SD176022508,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,NISSAN,TIIDA,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
15,2026-03-19,2026,ONLINE,Total,SU137000393,RIO IBANEZ,RIO IBANEZ,34876,34876,1993,JEEP,LADA,NIVA 4WD 4X4,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
16,2026-03-24,2026,PRESENCIAL,Total,CT060000481,RIO IBANEZ,RIO IBANEZ,34876,34876,1981,CAMIONETA,DATSUN,CHASSIS-CORTO 1000 KG,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
17,2026-03-31,2026,ONLINE,Total,SU060000981,COYHAIQUE,RIO IBANEZ,34876,34876,1981,STATION WAGON,DATSUN,BLUEBIRD,1800.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
18,2026-03-24,2026,PRESENCIAL,Total,CT235011708,RIO IBANEZ,RIO IBANEZ,36415,34876,2008,CAMIONETA,TOYOTA,HILUX,3000.0,DIES,MEC,COYHAIQUE,2027-03-31
19,2026-04-28,2026,ONLINE,Total,CT160009108,RIO IBANEZ,RIO IBANEZ,34876,35091,2008,CAMIONETA,MAZDA,BT50,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
20,2026-03-25,2026,PRESENCIAL,Total,SU229014108,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,STATION WAGON,SUZUKI,AERIO GLX AT,1600.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
21,2026-03-31,2026,ONLINE,Total,HB132002508,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,AUTOMOVIL,KIA MOTORS,MORNING II LX 5DR 1.1 MEC,1100.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
22,2026-04-02,2026,PRESENCIAL,Total,SD235017408,COYHAIQUE,RIO IBANEZ,34876,34890,2008,AUTOMOVIL,TOYOTA,YARIS,1500.0,BENC,MEC,COYHAIQUE,2027-03-31
23,2026-03-10,2026,PRESENCIAL,Total,SU176002796,RIO IBANEZ,RIO IBANEZ,34876,34876,1996,STATION WAGON,NISSAN,TERRANO,3000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
24,2026-03-25,2026,PRESENCIAL,Total,CT166005408,RIO IBANEZ,RIO IBANEZ,34876,34876,2008,CAMIONETA,MITSUBISHI,L200 D/C TD WORK CR 4X2,2500.0,DIES,MEC,COYHAIQUE,2027-03-31
25,2026-03-27,2026,PRESENCIAL,Total,CT235003797,RIO IBANEZ,RIO IBANEZ,34876,34876,1997,CAMIONETA,TOYOTA,HILUX C/S STD,2400.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
26,2026-05-13,2026,PRESENCIAL,Total,SU166000496,COYHAIQUE,RIO IBANEZ,33715,38170,1996,STATION WAGON,MITSUBISHI,MONTERO 3.0 IE,3000.0,BENC,MEC,RIO IBAÑEZ,2026-03-31
